,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E11,E12
33.5,2853842.0,2352812.0,2308851.0,2284898.0,2262441.0,2300081.0,299268.0,295685.0,294015.0,299893.0,298720.0,298137.0,263610.0,261392.0,264645.0,266475.0,262099.0,259424.0,300665.0,317532.0
34.0,2900377.0,2388811.0,2357491.0,2328319.0,2306124.0,2349853.0,302467.0,293602.0,296018.0,297898.0,301076.0,303617.0,267411.0,258436.0,266769.0,270329.0,260967.0,260317.0,300828.0,317811.0
34.5,2939912.0,2423319.0,2416039.0,2370147.0,2347150.0,2372951.0,304184.0,299640.0,302635.0,297314.0,305305.0,299841.0,265415.0,259601.0,263322.0,269474.0,262625.0,261261.0,303487.0,314475.0
35.0,2989295.0,2436790.0,2414741.0,2405599.0,2373524.0,2405752.0,307264.0,300711.0,297263.0,298355.0,303626.0,298786.0,263763.0,259627.0,261193.0,271442.0,261117.0,261957.0,302978.0,311650.0
35.5,3038318.0,2473726.0,2454585.0,2432578.0,2386988.0,2437609.0,301231.0,298540.0,299169.0,298905.0,304693.0,303895.0,266305.0,258164.0,262685.0,271421.0,260846.0,257468.0,305918.0,318100.0
36.0,3056173.0,2486679.0,2479306.0,2447552.0,2419322.0,2451734.0,305977.0,299413.0,298939.0,301179.0,306556.0,302009.0,264676.0,258790.0,262382.0,269920.0,261679.0,261201.0,303196.0,314940.0
36.5,3089144.0,2504251.0,2493226.0,2472825.0,2430220.0,2476328.0,304782.0,296300.0,298901.0,299520.0,305588.0,308578.0,262961.0,258406.0,263982.0,269565.0,261795.0,259615.0,305773.0,319702.0
37.0,3132512.0,2536935.0,2532421.0,2502345.0,2474654.0,2505383.0,306180.0,298692.0,302175.0,303739.0,306292.0,301798.0,260511.0,256775.0,265032.0,266126.0,262119.0,263302.0,303971.0,317316.0
37.5,3158217.0,2566002.0,2563948.0,2528953.0,2488041.0,2526347.0,306479.0,301763.0,303740.0,300415.0,307784.0,309373.0,266269.0,257154.0,263867.0,269810.0,262923.0,261739.0,306285.0,317866.0
38.0,3170317.0,2586249.0,2582845.0,2552911.0,2518418.0,2550484.0,307832.0,302684.0,301220.0,306296.0,311313.0,302697.0,267228.0,259693.0,265775.0,267518.0,263335.0,259579.0,305358.0,320180.0
38.5,3189522.0,2601304.0,2586641.0,2558547.0,2528516.0,2572775.0,307585.0,302774.0,303650.0,305227.0,309783.0,302736.0,263384.0,260377.0,265093.0,267888.0,266692.0,263893.0,302835.0,320080.0
39.0,3215128.0,2616253.0,2624540.0,2567171.0,2519850.0,2580674.0,306962.0,303642.0,302020.0,304430.0,312158.0,303782.0,263176.0,262835.0,264421.0,268349.0,261264.0,260212.0,302556.0,317929.0
39.5,3233855.0,2632279.0,2641789.0,2606788.0,2556234.0,2592917.0,303505.0,300091.0,303325.0,303309.0,311203.0,309768.0,262818.0,259634.0,267686.0,269269.0,265537.0,262448.0,306354.0,319371.0
40.0,3252099.0,2651910.0,2653446.0,2627464.0,2598328.0,2612363.0,309546.0,304929.0,304130.0,305630.0,313870.0,303943.0,262698.0,259381.0,263230.0,268092.0,260241.0,258454.0,306874.0,313972.0
