,E6,E7,E8,E9,E10,E11,F3,F4,F5,F9,F10,F11,G3,G4,G5,G6,G7,G8
38.0,189139.0,170995.0,188563.0,6094278.0,6200067.0,6356898.0,6009880.0,5317875.0,5315974.0,296756.0,321634.0,334781.0,1199851.0,1089847.0,1096131.0,1190749.0,1131058.0,1147833.0
38.5,187047.0,170551.0,191199.0,6195551.0,6260646.0,6430500.0,6103091.0,5379821.0,5372178.0,299794.0,325203.0,340124.0,1206278.0,1095115.0,1108497.0,1194570.0,1137424.0,1160082.0
39.0,189775.0,168419.0,193013.0,6272406.0,6347283.0,6500506.0,6178938.0,5435214.0,5462330.0,304479.0,321320.0,338714.0,1215815.0,1118639.0,1107927.0,1207997.0,1147305.0,1166488.0
39.5,189469.0,170307.0,190965.0,6370254.0,6399854.0,6561783.0,6278301.0,5493420.0,5531061.0,300441.0,327051.0,337729.0,1202593.0,1122621.0,1123694.0,1214610.0,1151644.0,1173024.0
40.0,186476.0,169429.0,190814.0,6441341.0,6469319.0,6637956.0,6338969.0,5544625.0,5622335.0,305755.0,327096.0,340510.0,1193330.0,1127208.0,1132876.0,1226237.0,1166873.0,1183705.0
40.5,191145.0,169342.0,189978.0,6527925.0,6540092.0,6724939.0,6412674.0,5583828.0,5696155.0,305962.0,331732.0,345617.0,1187078.0,1147284.0,1136204.0,1226809.0,1168545.0,1193525.0
41.0,193221.0,169165.0,191061.0,6588732.0,6605842.0,6802797.0,6476761.0,5624484.0,5766993.0,309905.0,332718.0,344516.0,1170784.0,1156744.0,1138820.0,1232190.0,1170911.0,1195431.0
41.5,189389.0,168153.0,188141.0,6641003.0,6689720.0,6888740.0,6576304.0,5663766.0,5799191.0,314105.0,336364.0,345637.0,1162426.0,1156530.0,1150964.0,1251642.0,1185898.0,1207808.0
42.0,191436.0,168468.0,186393.0,6728719.0,6765414.0,6953233.0,6630231.0,5709118.0,5848019.0,316655.0,334737.0,347569.0,1160469.0,1169636.0,1166308.0,1249018.0,1191389.0,1217531.0
42.5,189348.0,169871.0,191176.0,6794173.0,6808562.0,7081539.0,6736962.0,5747157.0,5922968.0,318615.0,335789.0,349394.0,1154140.0,1178649.0,1159870.0,1262419.0,1196904.0,1221823.0
43.0,194373.0,170204.0,188953.0,6858140.0,6852232.0,7195137.0,6798074.0,5816122.0,5960194.0,322851.0,340708.0,353348.0,1137803.0,1192463.0,1168594.0,1265013.0,1207628.0,1227330.0
43.5,192396.0,173250.0,190812.0,6945558.0,6902636.0,7261635.0,6804822.0,5870646.0,6030888.0,325360.0,340754.0,356382.0,1125198.0,1195587.0,1190157.0,1280244.0,1207870.0,1234668.0
44.0,190188.0,173434.0,190840.0,6997473.0,6964002.0,7326541.0,6779033.0,5927594.0,6068089.0,329659.0,343083.0,354058.0,1043374.0,1210495.0,1187501.0,1284895.0,1204241.0,1238201.0
44.5,190589.0,173571.0,193891.0,7056812.0,6985388.0,7401983.0,6742497.0,5971727.0,6120631.0,335870.0,346593.0,359826.0,906000.0,1223955.0,1203708.0,1289290.0,1216701.0,1245544.0
45.0,190296.0,171043.0,193328.0,7089239.0,7027614.0,7492180.0,6723493.0,5996410.0,6180765.0,336506.0,341882.0,358335.0,813024.0,1219232.0,1203181.0,1295761.0,1221005.0,1255817.0
45.5,190229.0,173798.0,191641.0,7157632.0,7081360.0,7576015.0,6687283.0,6027182.0,6209184.0,341712.0,344314.0,359142.0,770076.0,1236610.0,1217986.0,1301077.0,1221508.0,1250086.0
46.0,191842.0,172170.0,191099.0,7225211.0,7134957.0,7643994.0,6641683.0,6076003.0,6262727.0,347097.0,346489.0,360345.0,786906.0,1232008.0,1223172.0,1317390.0,1227356.0,1265583.0
46.5,194661.0,172890.0,192294.0,7257630.0,7197464.0,7730658.0,6602305.0,6107111.0,6291562.0,348929.0,354006.0,364357.0,800362.0,1252008.0,1227887.0,1322748.0,1233403.0,1278247.0
47.0,195134.0,173796.0,192351.0,7298485.0,7255776.0,7844791.0,6567105.0,6166311.0,6308027.0,353656.0,352601.0,365616.0,856279.0,1250066.0,1240918.0,1328774.0,1243899.0,1271087.0
47.5,194705.0,174438.0,190203.0,7367239.0,7279793.0,7934506.0,6549372.0,6190187.0,6349647.0,356188.0,358750.0,370495.0,904554.0,1262176.0,1241539.0,1334722.0,1246004.0,1282278.0
