,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,E1
23.0,982940.0,972528.0,930166.0,918478.0,927188.0,980338.0,1408481.0,1392296.0,1336582.0,1414537.0,1466702.0,1670474.0,1411092.0,1299841.0,1240944.0,1187377.0,1188032.0,1166245.0,1260393.0,1291898.0,1243323.0,1314147.0,1443023.0,1518990.0,1436016.0,1247695.0,1279479.0,1256012.0,1222563.0,1192817.0,1055539.0,1089025.0,1047685.0,1058888.0,1191340.0,1185584.0,300587.0,299979.0
23.5,1008176.0,988614.0,945920.0,954132.0,940497.0,997514.0,1451233.0,1431131.0,1381967.0,1452131.0,1498905.0,1714637.0,1444450.0,1335510.0,1270640.0,1208975.0,1214058.0,1194121.0,1286649.0,1315386.0,1269346.0,1349773.0,1471899.0,1553242.0,1479409.0,1273724.0,1299561.0,1278979.0,1248181.0,1209518.0,1071199.0,1122003.0,1067712.0,1085635.0,1204213.0,1217197.0,308522.0,302018.0
24.0,1011639.0,1001226.0,953228.0,951819.0,950308.0,1011909.0,1467224.0,1444241.0,1377100.0,1466668.0,1529250.0,1748845.0,1460847.0,1353180.0,1285425.0,1228595.0,1217896.0,1207266.0,1305693.0,1338616.0,1275896.0,1346893.0,1486183.0,1567860.0,1488203.0,1291658.0,1313728.0,1287338.0,1257429.0,1206267.0,1073007.0,1120998.0,1076363.0,1083332.0,1225139.0,1236094.0,303106.0,297959.0
24.5,1029925.0,1021788.0,960645.0,962540.0,964219.0,1023467.0,1489923.0,1467796.0,1406670.0,1492986.0,1553940.0,1780068.0,1483801.0,1363764.0,1308916.0,1239659.0,1237667.0,1219809.0,1315994.0,1343442.0,1296170.0,1377896.0,1514228.0,1587358.0,1514828.0,1287338.0,1325655.0,1301668.0,1270717.0,1226323.0,1087116.0,1134813.0,1084420.0,1100908.0,1240598.0,1248750.0,302195.0,300694.0
25.0,1035990.0,1010695.0,962298.0,965638.0,961811.0,1023642.0,1495376.0,1476952.0,1405548.0,1492854.0,1566294.0,1795979.0,1504305.0,1374771.0,1307612.0,1241428.0,1243029.0,1230143.0,1323712.0,1345063.0,1297988.0,1381053.0,1513830.0,1616257.0,1516027.0,1301223.0,1332964.0,1319414.0,1267103.0,1231827.0,1088191.0,1138486.0,1088246.0,1103849.0,1248286.0,1259870.0,299409.0,300947.0
25.5,1050336.0,1021740.0,973437.0,969080.0,979396.0,1039055.0,1519768.0,1499962.0,1427563.0,1513357.0,1583826.0,1826338.0,1514168.0,1388640.0,1324690.0,1251192.0,1250415.0,1239772.0,1336171.0,1366517.0,1303271.0,1386566.0,1535442.0,1624264.0,1536176.0,1310223.0,1347688.0,1310172.0,1286490.0,1242926.0,1100351.0,1157134.0,1092189.0,1103548.0,1257338.0,1263183.0,303405.0,300698.0
26.0,1045908.0,1019697.0,970804.0,974259.0,971229.0,1038182.0,1519962.0,1492989.0,1425833.0,1513128.0,1586351.0,1836895.0,1516661.0,1391911.0,1333435.0,1266788.0,1253432.0,1233397.0,1330859.0,1362692.0,1319327.0,1397868.0,1536475.0,1631340.0,1539537.0,1309774.0,1351322.0,1323359.0,1280561.0,1236515.0,1092010.0,1149305.0,1088797.0,1113368.0,1262937.0,1273904.0,299478.0,296851.0
26.5,1070599.0,1038941.0,986766.0,998993.0,992885.0,1057894.0,1554378.0,1535247.0,1464199.0,1548537.0,1621896.0,1871609.0,1556306.0,1419339.0,1347407.0,1292374.0,1277978.0,1262050.0,1362340.0,1385584.0,1330364.0,1433298.0,1574273.0,1663294.0,1571764.0,1330356.0,1371288.0,1338360.0,1310211.0,1252733.0,1102222.0,1177254.0,1106462.0,1128181.0,1288970.0,1282902.0,304747.0,302132.0
27.0,1077354.0,1039188.0,998260.0,1001505.0,990094.0,1059468.0,1569045.0,1541288.0,1471301.0,1569405.0,1636123.0,1891771.0,1566699.0,1439584.0,1358258.0,1300205.0,1280690.0,1269841.0,1367684.0,1397201.0,1340905.0,1441478.0,1583698.0,1686724.0,1583870.0,1348315.0,1380456.0,1350935.0,1307710.0,1254472.0,1121239.0,1185035.0,1109220.0,1132876.0,1303047.0,1305970.0,305660.0,298770.0
27.5,1115645.0,1076326.0,1026844.0,1023122.0,1027838.0,1096262.0,1625570.0,1590243.0,1522445.0,1618219.0,1692655.0,1956829.0,1624054.0,1472233.0,1404614.0,1328578.0,1322020.0,1295942.0,1412603.0,1437089.0,1375643.0,1480314.0,1625101.0,1714508.0,1631414.0,1384650.0,1407108.0,1386988.0,1346913.0,1299157.0,1145959.0,1207913.0,1145258.0,1165350.0,1342367.0,1339701.0,306865.0,306045.0
28.0,1113641.0,1088301.0,1035761.0,1031643.0,1026268.0,1099025.0,1629757.0,1595391.0,1520036.0,1626980.0,1706121.0,1969600.0,1622307.0,1472418.0,1408675.0,1342215.0,1329288.0,1299220.0,1408028.0,1442355.0,1374804.0,1473342.0,1630697.0,1746216.0,1634530.0,1381668.0,1416766.0,1390893.0,1350956.0,1288066.0,1138164.0,1205828.0,1134902.0,1166045.0,1337634.0,1351650.0,304694.0,302907.0
28.5,1137561.0,1090410.0,1044128.0,1044483.0,1040355.0,1119090.0,1649462.0,1630194.0,1546239.0,1648840.0,1736979.0,1998847.0,1654856.0,1510049.0,1426013.0,1360431.0,1346765.0,1321330.0,1433615.0,1472839.0,1405684.0,1501171.0,1660358.0,1763103.0,1670865.0,1399976.0,1439772.0,1399448.0,1378815.0,1303141.0,1158570.0,1225126.0,1163700.0,1193261.0,1362723.0,1362750.0,310880.0,306902.0
29.0,1140762.0,1106555.0,1038811.0,1055913.0,1054653.0,1114722.0,1669953.0,1644124.0,1564176.0,1657683.0,1755782.0,2036627.0,1671539.0,1520907.0,1430673.0,1364950.0,1351520.0,1332345.0,1438290.0,1466002.0,1411674.0,1515839.0,1666988.0,1789640.0,1692608.0,1410383.0,1446084.0,1418256.0,1366423.0,1311877.0,1156549.0,1236730.0,1154797.0,1187491.0,1364546.0,1381064.0,306863.0,299440.0
29.5,1152250.0,1125877.0,1062919.0,1065472.0,1060624.0,1137278.0,1703082.0,1677327.0,1587954.0,1699733.0,1785032.0,2073329.0,1692973.0,1542636.0,1456969.0,1382019.0,1370255.0,1357858.0,1463402.0,1489391.0,1437841.0,1534975.0,1691119.0,1817267.0,1707326.0,1426877.0,1460160.0,1432091.0,1394984.0,1343087.0,1180184.0,1250900.0,1175594.0,1204879.0,1388606.0,1394254.0,309550.0,307094.0
30.0,1146748.0,1120897.0,1054237.0,1070525.0,1063865.0,1141365.0,1708388.0,1669763.0,1589175.0,1693751.0,1796001.0,2071574.0,1706510.0,1538042.0,1446912.0,1374365.0,1372949.0,1340796.0,1460177.0,1487259.0,1421652.0,1536335.0,1689295.0,1821977.0,1703163.0,1421629.0,1459178.0,1423615.0,1384660.0,1320092.0,1181519.0,1242931.0,1164820.0,1199131.0,1380696.0,1396162.0,305634.0,301274.0
30.5,1168835.0,1128378.0,1067486.0,1075957.0,1066672.0,1137917.0,1717651.0,1692710.0,1604259.0,1706934.0,1802139.0,2103652.0,1718323.0,1557239.0,1461285.0,1396468.0,1371362.0,1362697.0,1461893.0,1493855.0,1438901.0,1540759.0,1705079.0,1846744.0,1725178.0,1431503.0,1468175.0,1427630.0,1388190.0,1326995.0,1183426.0,1250071.0,1171511.0,1199765.0,1390549.0,1409305.0,309635.0,302913.0
31.0,1162647.0,1134986.0,1059313.0,1074648.0,1061040.0,1148221.0,1728715.0,1690812.0,1603623.0,1711773.0,1810704.0,2124290.0,1718478.0,1549367.0,1472865.0,1392862.0,1372543.0,1347914.0,1456702.0,1503008.0,1433309.0,1545154.0,1711509.0,1850771.0,1716745.0,1426096.0,1464056.0,1429222.0,1391264.0,1322720.0,1176226.0,1244002.0,1169231.0,1198613.0,1403069.0,1414983.0,299641.0,299178.0
