,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
31.0,84750113.0,79048981.0,69829209.0,69428361.0,76564562.0,65850035.0,62984214.0,63726394.0,61663796.0,61940664.0,66825241.0,87387712.0,29373118.0,26400561.0,24708373.0,24837348.0,26616702.0,26412187.0,270127.0,264559.0,268132.0,267974.0,253791.0,230941.0
31.5,85429037.0,79588613.0,70470616.0,69647199.0,76815442.0,66085442.0,63194961.0,64321056.0,61939071.0,62216487.0,67463261.0,87789165.0,29568755.0,26682804.0,24901899.0,25088560.0,26809086.0,26597186.0,268340.0,266055.0,265221.0,265500.0,258420.0,234684.0
32.0,85854093.0,79739316.0,70785099.0,69804156.0,77306224.0,66113996.0,63341191.0,64389397.0,61914078.0,62775936.0,68098401.0,88642609.0,29725496.0,26777911.0,25009844.0,25281735.0,26937630.0,26827804.0,265118.0,268318.0,268900.0,265681.0,257721.0,234235.0
32.5,86526675.0,80347165.0,71206283.0,70325576.0,77971227.0,66213845.0,63612438.0,64591727.0,62188498.0,62995189.0,68712480.0,89287185.0,30010475.0,27022583.0,25162043.0,25518361.0,27261196.0,27023997.0,268855.0,266894.0,270828.0,268743.0,258509.0,229675.0
33.0,87416235.0,80906978.0,71339178.0,70309133.0,78364357.0,66268461.0,63666917.0,64864890.0,62143138.0,63194695.0,69258676.0,90420332.0,30286944.0,27221341.0,25312284.0,25651432.0,27457091.0,27236483.0,268540.0,267637.0,266790.0,262881.0,252788.0,234522.0
33.5,87835366.0,81082505.0,71428265.0,70647025.0,79023330.0,66556565.0,63813552.0,64903549.0,62463183.0,63183860.0,69749578.0,90767642.0,30523499.0,27382152.0,25462922.0,25799963.0,27632703.0,27366942.0,269330.0,264877.0,266420.0,266226.0,256964.0,228627.0
34.0,88262729.0,81494220.0,71908675.0,70735235.0,79339293.0,66926548.0,63840823.0,65305989.0,62712170.0,63378777.0,70283081.0,91461292.0,30666959.0,27608584.0,25534210.0,26050190.0,27768199.0,27534842.0,268735.0,263162.0,270046.0,265914.0,255981.0,231741.0
34.5,89046912.0,81767866.0,72409107.0,70985837.0,79762459.0,67042154.0,64300447.0,65542412.0,62752179.0,63829490.0,71146114.0,92337320.0,30932614.0,27872299.0,25702899.0,26150786.0,28019590.0,27779697.0,270083.0,263946.0,268014.0,265790.0,256480.0,233279.0
35.0,89762582.0,82163769.0,73051576.0,71329335.0,80257092.0,67082223.0,64240298.0,65511293.0,63137990.0,64342872.0,71909208.0,93153654.0,31034781.0,28129230.0,25851284.0,26370181.0,28134310.0,27941900.0,268169.0,267788.0,264672.0,265975.0,258758.0,229953.0
35.5,90651106.0,82284569.0,72357888.0,71500737.0,80691218.0,67142204.0,64407614.0,65946397.0,63124474.0,64349069.0,72320609.0,93825229.0,31293344.0,28223810.0,26014631.0,26529760.0,28307557.0,28071726.0,268945.0,266931.0,269113.0,264161.0,261464.0,233129.0
36.0,91113074.0,82682960.0,72512054.0,71493371.0,81032089.0,67333914.0,64556634.0,66191701.0,63498178.0,65019263.0,72693582.0,94463030.0,31498102.0,28500008.0,26101722.0,26676805.0,28498107.0,28150826.0,269778.0,265351.0,267448.0,269179.0,253549.0,230921.0
36.5,91748161.0,82958962.0,71824232.0,71935814.0,81697554.0,67595775.0,64706521.0,66253285.0,63731824.0,65428627.0,73321429.0,94614981.0,31754433.0,28871053.0,26304557.0,26900098.0,28714558.0,28411688.0,272423.0,265517.0,268273.0,265463.0,258045.0,234187.0
37.0,92304800.0,83347596.0,72509560.0,72084092.0,81732668.0,67598464.0,64747148.0,66442172.0,63742320.0,65616119.0,73908335.0,95799135.0,31795591.0,29044239.0,26533032.0,27082589.0,28851822.0,28579787.0,270211.0,267162.0,267950.0,266372.0,257452.0,233766.0
37.5,93106284.0,83655882.0,72925695.0,72262642.0,81973172.0,68047716.0,65191168.0,66591658.0,64128215.0,66034140.0,74447700.0,96896540.0,32030641.0,29273639.0,26677147.0,27242365.0,29006829.0,28701161.0,273109.0,266125.0,270491.0,266576.0,258789.0,233161.0
38.0,93582964.0,84032168.0,73311488.0,72287728.0,82502581.0,68055470.0,65252059.0,66718256.0,64390227.0,66272687.0,74960730.0,97423956.0,32234691.0,29388637.0,26847620.0,27358324.0,29191775.0,28841170.0,272921.0,265138.0,268430.0,266094.0,256664.0,235367.0
38.5,94334332.0,84325841.0,73609482.0,72660579.0,83108892.0,68337284.0,65506747.0,67176600.0,64519178.0,66655507.0,75663262.0,98161207.0,32478667.0,29757153.0,27003239.0,27571784.0,29381866.0,29037133.0,272756.0,267865.0,265738.0,268972.0,255803.0,232829.0
39.0,95214890.0,84657432.0,73656561.0,72835000.0,83438924.0,68593070.0,65682472.0,67196982.0,64800302.0,66888382.0,76096425.0,98843706.0,32685751.0,30027064.0,27183098.0,27658551.0,29495278.0,29183389.0,275373.0,266602.0,267572.0,267856.0,260554.0,232290.0
39.5,95822210.0,85099013.0,74098819.0,73032426.0,83772927.0,68997907.0,65850615.0,67645307.0,65227440.0,67480833.0,77004327.0,99868191.0,32902858.0,30294655.0,27374532.0,27839184.0,29736940.0,29335989.0,274503.0,264340.0,268218.0,268819.0,258598.0,237011.0
40.0,96374783.0,85429574.0,74436744.0,73182775.0,83859489.0,69072243.0,66089727.0,67794573.0,65477362.0,67832416.0,77557571.0,99993750.0,32971366.0,30461080.0,27542754.0,27953278.0,29738224.0,29475889.0,275390.0,267169.0,267211.0,267096.0,259372.0,236481.0
40.5,96846812.0,85413214.0,74610998.0,73460654.0,84026308.0,69419881.0,66430184.0,67988156.0,65670946.0,68528803.0,78299328.0,101304072.0,33109162.0,30706884.0,27748146.0,28051503.0,29800531.0,29533993.0,274356.0,268388.0,264394.0,264234.0,259958.0,236129.0
41.0,97690522.0,85620987.0,74586150.0,73662401.0,84663510.0,69554247.0,66390334.0,68211281.0,66283011.0,68716908.0,78289714.0,101955751.0,33313581.0,30975716.0,27864004.0,28137697.0,30014560.0,29720379.0,274544.0,266516.0,268528.0,263367.0,258881.0,232004.0
41.5,98302819.0,86081981.0,74691822.0,73996429.0,84781091.0,69957026.0,66640913.0,68595120.0,66313239.0,68976628.0,78676005.0,102097813.0,33567672.0,31222788.0,28095943.0,28302186.0,30158889.0,29915312.0,276329.0,265918.0,267961.0,268074.0,259803.0,235333.0
42.0,98948438.0,86400172.0,74861259.0,74007341.0,85101732.0,70305588.0,66789355.0,68645071.0,66539821.0,69395665.0,79296098.0,103378610.0,33747886.0,31443555.0,28189081.0,28452620.0,30283539.0,29926497.0,274959.0,269064.0,267703.0,271247.0,262485.0,233263.0
42.5,99569553.0,86816742.0,75131763.0,74192237.0,85129809.0,70227374.0,67011923.0,68820834.0,66991088.0,70161536.0,79512048.0,104407244.0,33905201.0,31688208.0,28387628.0,28520651.0,30390691.0,30092578.0,271942.0,264836.0,270419.0,266833.0,259067.0,236785.0
