,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4
37.0,27370906.0,22721592.0,20172638.0,21050171.0,20255217.0,21162838.0,16198665.0,15947293.0,15990438.0,15729714.0,17485714.0,21232675.0,36272690.0,30426515.0,29646580.0,29504405.0,31545507.0,31275680.0,299834.0,296515.0,297736.0,297610.0,304857.0,319337.0,256921.0,248022.0,243661.0,255387.0
37.5,27690398.0,22849593.0,20430071.0,21301181.0,20430290.0,21374648.0,16316150.0,16054528.0,16019156.0,15817907.0,17638118.0,21472677.0,36592235.0,30477417.0,29812796.0,29717642.0,31807907.0,31408418.0,298850.0,298341.0,304408.0,304408.0,304536.0,321501.0,262651.0,247232.0,246864.0,253731.0
38.0,27971463.0,23125058.0,20585917.0,21314466.0,20607323.0,21460480.0,16379991.0,16096384.0,16124173.0,15944774.0,17748461.0,21798785.0,36950154.0,30825102.0,30022944.0,29949373.0,32062539.0,31767919.0,296663.0,300683.0,303572.0,302190.0,307311.0,321106.0,258757.0,248820.0,246846.0,252490.0
38.5,28216873.0,23255230.0,20759282.0,21568945.0,20771620.0,21691794.0,16480936.0,16235595.0,16221152.0,16031355.0,17898816.0,21854209.0,37307871.0,31005536.0,30301718.0,29990175.0,32150886.0,32101503.0,306413.0,296533.0,302722.0,303234.0,307376.0,324054.0,260092.0,249007.0,246065.0,254150.0
39.0,28493937.0,23557629.0,20942478.0,21737732.0,20889262.0,21854165.0,16573516.0,16322276.0,16313757.0,16069227.0,18091467.0,22101851.0,37543286.0,31314090.0,30484592.0,30286163.0,32352127.0,32350555.0,298061.0,301308.0,306009.0,304610.0,304841.0,321830.0,256778.0,250002.0,250774.0,253327.0
39.5,28885073.0,23684053.0,21032580.0,21917982.0,21119979.0,21945784.0,16638641.0,16359055.0,16407772.0,16121183.0,18134518.0,22182424.0,37613145.0,31446374.0,30647756.0,30469441.0,32747860.0,32645721.0,297525.0,304251.0,303785.0,305196.0,305156.0,326894.0,261335.0,251775.0,249243.0,254580.0
40.0,28996525.0,23882255.0,21278109.0,22048045.0,21219761.0,22161752.0,16767333.0,16495215.0,16508916.0,16308280.0,18425227.0,22396281.0,38077450.0,31690111.0,30882146.0,30682778.0,32978610.0,32887028.0,302045.0,304845.0,303267.0,302629.0,306387.0,325720.0,260810.0,249914.0,247170.0,255068.0
40.5,29363838.0,24047502.0,21401994.0,22208959.0,21317342.0,22335759.0,16826822.0,16576328.0,16563922.0,16352656.0,18452715.0,22627590.0,38405675.0,31869438.0,31084623.0,30983509.0,33178514.0,33092897.0,301304.0,302691.0,306011.0,301294.0,311688.0,327704.0,262194.0,249351.0,249165.0,251762.0
41.0,29581455.0,24223744.0,21520136.0,22334748.0,21486177.0,22463434.0,16940230.0,16630656.0,16663231.0,16425915.0,18522173.0,22657375.0,38545835.0,32096615.0,31250135.0,31088682.0,33481845.0,33272465.0,299984.0,305498.0,305781.0,304150.0,309800.0,325777.0,262115.0,250282.0,248404.0,258999.0
41.5,29880047.0,24416921.0,21643417.0,22550917.0,21687910.0,22561104.0,17071291.0,16687264.0,16677968.0,16511091.0,18757364.0,22815230.0,38910761.0,32182790.0,31462388.0,31208791.0,33673291.0,33576903.0,302285.0,304159.0,304001.0,305342.0,307804.0,325615.0,263376.0,253166.0,248007.0,257853.0
