,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H3,H5,H7,H9,H11
13.5,5321768.0,5814126.0,5439829.0,4634965.0,5020972.0,4424867.0,4006274.0,3624810.0,4361422.0,5832724.0,4587379.0,3723998.0,4472322.0,4932509.0,5081524.0,4748008.0,5394595.0,4770033.0,4638870.0,4714825.0,4501014.0,4797514.0,4656624.0,4839345.0,7469233.0,8116041.0,7916449.0,8567223.0,7864700.0,6895487.0,11131116.0,12281597.0,12871671.0,11135762.0,11150499.0,12326099.0,285904.0,291656.0,278490.0,284105.0,281387.0,291561.0
14.0,5382162.0,5808857.0,5605599.0,4627141.0,5046534.0,4510649.0,4046760.0,3652694.0,4436716.0,5888285.0,4618294.0,3796976.0,4492776.0,4953969.0,5118757.0,4793174.0,5382570.0,4812259.0,4695275.0,4748425.0,4528876.0,4827122.0,4677893.0,4849649.0,7413061.0,8129124.0,7929046.0,8603032.0,7897290.0,6909877.0,11506480.0,12455234.0,13158708.0,11293368.0,11248511.0,12389935.0,284069.0,289988.0,278255.0,283355.0,279366.0,289324.0
14.5,5561750.0,5907912.0,5788829.0,4800916.0,5199358.0,4690705.0,4162729.0,3830650.0,4623792.0,5957480.0,4732335.0,3879014.0,4630976.0,5075272.0,5246766.0,4926109.0,5539720.0,4937009.0,4804694.0,4884981.0,4674161.0,4975433.0,4824344.0,5052893.0,7700998.0,8484600.0,8185035.0,8826641.0,8164638.0,7232980.0,11954211.0,12850211.0,13659977.0,11714116.0,11756916.0,12944223.0,285393.0,292881.0,280030.0,283721.0,278691.0,286989.0
15.0,5736182.0,6262587.0,5917784.0,4947225.0,5346238.0,4845449.0,4273046.0,3962493.0,4743766.0,6126570.0,4839309.0,3991031.0,4738814.0,5148981.0,5341553.0,5010115.0,5664585.0,5021234.0,4936120.0,4978637.0,4788385.0,5084910.0,4929749.0,5184978.0,7927876.0,8633831.0,8441178.0,9075377.0,8349762.0,7404328.0,12223846.0,13269481.0,13904520.0,12073540.0,12129266.0,13253323.0,286086.0,292535.0,283024.0,286288.0,280674.0,293870.0
15.5,5904001.0,6308331.0,6127911.0,5106890.0,5488868.0,5033090.0,4391566.0,4063142.0,4889331.0,6290207.0,5018457.0,4114857.0,4873311.0,5297743.0,5455483.0,5120400.0,5785844.0,5154561.0,5049442.0,5112920.0,4892821.0,5228831.0,5054015.0,5270232.0,8112938.0,8819785.0,8637811.0,9321486.0,8579720.0,7576653.0,12811337.0,13674304.0,14308154.0,12457216.0,12472790.0,13720471.0,288963.0,294875.0,284532.0,286575.0,284282.0,294518.0
16.0,5926315.0,5909138.0,6188248.0,5157234.0,5541211.0,5088611.0,4442997.0,4169347.0,4929238.0,6248004.0,5070757.0,4137330.0,4911917.0,5329792.0,5509742.0,5182931.0,5824967.0,5212937.0,5103176.0,5139158.0,4945987.0,5272792.0,5123734.0,5377812.0,8224080.0,8994106.0,8789388.0,9335752.0,8640612.0,7684881.0,12976507.0,13846375.0,14520354.0,12652327.0,12710420.0,13874551.0,288399.0,292584.0,282345.0,288655.0,280454.0,297623.0
16.5,6155709.0,5950791.0,6329248.0,5297711.0,5762753.0,5202036.0,4532437.0,4264174.0,5058158.0,6401809.0,5179122.0,4260784.0,5087426.0,5454438.0,5647840.0,5317394.0,5982718.0,5339260.0,5274261.0,5300329.0,5085924.0,5472840.0,5252281.0,5506330.0,8515990.0,9220008.0,9032229.0,9600924.0,8944235.0,7914250.0,13371114.0,14327327.0,14900025.0,13106638.0,13191277.0,14449279.0,291548.0,294947.0,289101.0,287839.0,281829.0,296164.0
17.0,6117847.0,5766571.0,6323187.0,5286692.0,5725580.0,5263420.0,4533632.0,4257582.0,5068361.0,6400954.0,5175657.0,4312411.0,5073947.0,5458716.0,5641006.0,5295744.0,5962561.0,5337302.0,5269816.0,5309327.0,5115401.0,5451392.0,5240341.0,5451752.0,8494738.0,9197414.0,8974781.0,9584112.0,8863352.0,7920283.0,13485179.0,14401095.0,15026648.0,13193220.0,13244608.0,14452329.0,287680.0,296077.0,286367.0,287280.0,280420.0,296738.0
17.5,6327788.0,5663569.0,6483455.0,5456929.0,5898313.0,5391930.0,4638318.0,4396993.0,5221263.0,6524057.0,5299572.0,4400802.0,5215834.0,5568097.0,5777549.0,5430043.0,6121977.0,5453693.0,5397763.0,5419583.0,5237651.0,5617991.0,5382324.0,5657666.0,8767269.0,9422038.0,9164247.0,9733232.0,9124591.0,8170555.0,13964874.0,14797779.0,15507771.0,13559525.0,13652529.0,14973357.0,291505.0,293940.0,284308.0,287664.0,285167.0,297587.0
18.0,6353176.0,5624656.0,6383885.0,5442186.0,5926999.0,5386292.0,4669757.0,4409560.0,5167616.0,6442550.0,5268742.0,4420485.0,5221998.0,5559962.0,5754605.0,5415321.0,6121343.0,5446714.0,5439379.0,5419936.0,5236452.0,5664725.0,5393090.0,5633077.0,8754249.0,9477519.0,9242423.0,9646285.0,9093342.0,8121310.0,13947701.0,14935624.0,15461970.0,13638224.0,13669685.0,14913023.0,288202.0,292696.0,286080.0,289004.0,283031.0,292166.0
