,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H3,H5,H7,H9,H11
42.5,5164277.0,3948232.0,3883828.0,3813646.0,3649891.0,3640316.0,7595404.0,8943099.0,8077588.0,8515297.0,8356176.0,9538078.0,10726699.0,8349659.0,8214413.0,7854345.0,8299152.0,7838193.0,8647801.0,8558573.0,8465873.0,8566825.0,8961353.0,10256992.0,9952202.0,10295629.0,9886144.0,8892501.0,9026567.0,9099146.0,7599661.0,7873757.0,7774619.0,7535037.0,7859817.0,8420002.0,302861.0,296441.0,291814.0,289844.0,294411.0,307558.0
43.0,5242993.0,3982698.0,3874106.0,3812421.0,3640937.0,3647174.0,7558307.0,8976921.0,8053479.0,8498971.0,8369533.0,9563764.0,10727088.0,8345701.0,8193383.0,7890414.0,8334081.0,7858358.0,8644184.0,8575603.0,8479499.0,8543786.0,8943285.0,10275048.0,9887099.0,10348052.0,9930988.0,8859619.0,9060624.0,9152010.0,7616535.0,7840067.0,7779526.0,7571563.0,7914440.0,8466626.0,304196.0,294070.0,292028.0,288143.0,295599.0,306664.0
43.5,5149360.0,4000592.0,3868956.0,3809678.0,3625159.0,3653379.0,7592783.0,8962474.0,8072628.0,8527948.0,8336235.0,9655835.0,10787385.0,8408510.0,8153791.0,7825124.0,8304890.0,7845494.0,8599434.0,8572355.0,8482292.0,8545876.0,8921189.0,10329994.0,9830207.0,10336807.0,9909543.0,8872200.0,8997676.0,9133661.0,7546152.0,7832966.0,7774643.0,7561148.0,7851786.0,8395104.0,299537.0,293434.0,289607.0,288835.0,294961.0,309168.0
44.0,5221355.0,4046415.0,3893050.0,3843066.0,3653532.0,3655150.0,7632658.0,8933835.0,8143551.0,8574464.0,8411778.0,9752272.0,10918137.0,8459788.0,8207129.0,7867988.0,8349882.0,7891247.0,8653473.0,8579142.0,8532552.0,8637530.0,9010235.0,10443704.0,9818582.0,10405422.0,10016403.0,8904811.0,9138568.0,9223457.0,7656522.0,7854677.0,7745244.0,7581664.0,7956693.0,8552619.0,299172.0,293424.0,287437.0,284557.0,291436.0,305566.0
44.5,5217453.0,4071938.0,3899601.0,3856008.0,3646357.0,3665221.0,7602049.0,8920689.0,8090057.0,8564203.0,8403025.0,9813347.0,11022794.0,8426186.0,8207649.0,7884505.0,8350476.0,7880894.0,8627555.0,8548059.0,8504302.0,8600752.0,9000913.0,10491773.0,9900497.0,10498302.0,10072729.0,8945387.0,9124910.0,9303991.0,7607677.0,7853861.0,7742400.0,7610512.0,7956707.0,8585142.0,305121.0,286592.0,287208.0,279772.0,291671.0,305259.0
45.0,5287233.0,4169331.0,3972228.0,3933212.0,3700770.0,3744932.0,7768991.0,9105897.0,8240394.0,8743750.0,8596351.0,10123264.0,11240923.0,8609915.0,8394382.0,8035179.0,8491781.0,8012921.0,8821523.0,8699964.0,8675659.0,8805773.0,9150729.0,10727441.0,10086403.0,10704726.0,10256423.0,9126333.0,9290576.0,9477150.0,7793403.0,7993389.0,7915669.0,7768825.0,8124799.0,8730353.0,301223.0,292690.0,284921.0,286583.0,292283.0,304604.0
45.5,5253843.0,4183433.0,3977005.0,3920345.0,3715649.0,3740327.0,7749764.0,8928048.0,8250709.0,8712172.0,8614794.0,10104358.0,11222341.0,8655182.0,8359036.0,8026372.0,8429131.0,8044883.0,8758782.0,8687875.0,8636683.0,8789531.0,9115646.0,10747342.0,10553315.0,10717521.0,10230017.0,9114637.0,9336516.0,9421843.0,7771486.0,8026774.0,7907606.0,7747428.0,8122323.0,8764418.0,303902.0,293928.0,285713.0,285290.0,289761.0,303014.0
46.0,5270068.0,4246189.0,4039317.0,3970180.0,3746588.0,3774890.0,7829292.0,9066941.0,8323308.0,8811365.0,8699562.0,10314932.0,11394545.0,8747723.0,8402244.0,8111266.0,8564092.0,8065697.0,8851503.0,8752548.0,8738723.0,8888994.0,9216072.0,10936795.0,10889412.0,10908069.0,10342230.0,9234204.0,9418508.0,9568431.0,7853892.0,8079800.0,7966798.0,7803134.0,8214210.0,8846757.0,304896.0,290631.0,287499.0,282272.0,296594.0,306441.0
46.5,5408277.0,4293226.0,4034405.0,3962735.0,3747010.0,3774988.0,7819210.0,9003465.0,8328156.0,8831694.0,8713318.0,10417243.0,11435502.0,8762570.0,8462987.0,8075347.0,8549433.0,8073035.0,8846458.0,8764788.0,8719131.0,8858487.0,9216427.0,11005953.0,11019391.0,10917306.0,10399955.0,9314481.0,9515710.0,9659310.0,7802120.0,8096023.0,7914001.0,7830818.0,8221382.0,8887107.0,309091.0,295593.0,291049.0,285326.0,294427.0,308858.0
47.0,5209351.0,4328298.0,4055012.0,3981432.0,3755238.0,3796807.0,7824606.0,8844298.0,8329625.0,8833395.0,8711254.0,10388579.0,11504632.0,8786320.0,8422435.0,8103433.0,8567949.0,8102208.0,8800025.0,8733851.0,8679312.0,8854713.0,9228860.0,10986797.0,11504514.0,11024055.0,10521811.0,9272820.0,9471039.0,9726401.0,7852661.0,8110990.0,7944465.0,7759715.0,8192178.0,8990106.0,307120.0,292954.0,286636.0,283467.0,288842.0,302981.0
